arxiv_id,title,authors,published_date,pdf_url,search_query
2506.06962v3,AR-RAG: Autoregressive Retrieval Augmentation for Image Generation,"Jingyuan Qi, Zhiyang Xu, Qifan Wang, Lifu Huang",2025-06-08T01:33:05+00:00,https://arxiv.org/pdf/2506.06962v3,retrieval augmented generation
2504.13684v1,Intelligent Interaction Strategies for Context-Aware Cognitive Augmentation," Xiangrong,  Zhu, Yuan Xu, Tianjian Liu, Jingwei Sun, Yu Zhang, Xin Tong",2025-04-18T13:35:21+00:00,https://arxiv.org/pdf/2504.13684v1,retrieval augmented generation
2504.17204v1,Factually: Exploring Wearable Fact-Checking for Augmented Truth Discernment,"Chitralekha Gupta, Hanjun Wu, Praveen Sasikumar, Shreyas Sridhar, Priambudi Bagaskara, Suranga Nanayakkara",2025-04-24T02:29:50+00:00,https://arxiv.org/pdf/2504.17204v1,retrieval augmented generation
2504.14689v1,Designing AI Systems that Augment Human Performed vs. Demonstrated Critical Thinking,"Katelyn Xiaoying Mei, Nic Weber",2025-04-20T17:40:28+00:00,https://arxiv.org/pdf/2504.14689v1,retrieval augmented generation
2411.18583v1,Automated Literature Review Using NLP Techniques and LLM-Based Retrieval-Augmented Generation,"Nurshat Fateh Ali, Md. Mahdi Mohtasim, Shakil Mosharrof, T. Gopi Krishna",2024-11-27T18:27:07+00:00,https://arxiv.org/pdf/2411.18583v1,retrieval augmented generation
2605.12335v1,EHR-RAGp: Retrieval-Augmented Prototype-Guided Foundation Model for Electronic Health Records,"Saeed Shurrab, Mariam Al-Omari, Dana El Samad, Farah E. Shamout",2026-05-12T16:17:03+00:00,https://arxiv.org/pdf/2605.12335v1,retrieval augmented generation
2402.12317v2,EVOR: Evolving Retrieval for Code Generation,"Hongjin Su, Shuyang Jiang, Yuhang Lai, Haoyuan Wu, Boao Shi, Che Liu, Qian Liu, Tao Yu",2024-02-19T17:37:28+00:00,https://arxiv.org/pdf/2402.12317v2,retrieval augmented generation
2502.00306v2,Riddle Me This! Stealthy Membership Inference for Retrieval-Augmented Generation,"Ali Naseh, Yuefeng Peng, Anshuman Suri, Harsh Chaudhari, Alina Oprea, Amir Houmansadr",2025-02-01T04:01:18+00:00,https://arxiv.org/pdf/2502.00306v2,retrieval augmented generation
2309.15217v2,Ragas: Automated Evaluation of Retrieval Augmented Generation,"Shahul Es, Jithin James, Luis Espinosa-Anke, Steven Schockaert",2023-09-26T19:23:54+00:00,https://arxiv.org/pdf/2309.15217v2,retrieval augmented generation
2507.23334v2,MUST-RAG: MUSical Text Question Answering with Retrieval Augmented Generation,"Daeyong Kwon, SeungHeon Doh, Juhan Nam",2025-07-31T08:31:05+00:00,https://arxiv.org/pdf/2507.23334v2,retrieval augmented generation
2601.05264v1,Engineering the RAG Stack: A Comprehensive Review of the Architecture and Trust Frameworks for Retrieval-Augmented Generation Systems,"Dean Wampler, Dave Nielson, Alireza Seddighi",2025-11-07T16:26:29+00:00,https://arxiv.org/pdf/2601.05264v1,retrieval augmented generation
2510.22344v1,FAIR-RAG: Faithful Adaptive Iterative Refinement for Retrieval-Augmented Generation,"Mohammad Aghajani Asl, Majid Asgari-Bidhendi, Behrooz Minaei-Bidgoli",2025-10-25T15:59:33+00:00,https://arxiv.org/pdf/2510.22344v1,retrieval augmented generation
2601.11863v1,Utilizing Metadata for Better Retrieval-Augmented Generation,"Raquib Bin Yousuf, Shengzhe Xu, Mandar Sharma, Andrew Neeser, Chris Latimer, Naren Ramakrishnan",2026-01-17T01:11:03+00:00,https://arxiv.org/pdf/2601.11863v1,retrieval augmented generation
1811.08772v1,Overcoming low-utility facets for complex answer retrieval,"Sean MacAvaney, Andrew Yates, Arman Cohan, Luca Soldaini, Kai Hui, Nazli Goharian, Ophir Frieder",2018-11-21T15:09:00+00:00,https://arxiv.org/pdf/1811.08772v1,retrieval augmented generation
